541,637
540,617
533,605
525,602
480,598
500,559
530,520
540,513
549,510
570,512
576,515
586,527
593,568
616,605
650,634
667,642
681,644
691,637
697,623
695,612
664,579
652,561
643,536
640,501
644,454
654,420
669,395
717,342
727,323
731,297
728,263
719,222
725,199
743,179
750,164
734,67
730,56
726,52
720,50
704,52
697,56
674,79
653,91
640,94
600,86
560,68
553,68
549,71
544,85
549,126
569,185
572,214
568,226
558,235
437,261
378,290
350,311
323,339
301,371
271,434
240,536
231,550
197,582
165,603
83,638
65,650
54,668
50,694
53,708
61,720
86,739
113,749
123,750
130,747
129,741
102,713
97,700
102,686
119,671
153,655
249,623
261,622
272,624
293,637
